X,Y,OBJECTID_1,OBJECTID,CODIGO,CENTRO,DIRECCION,DISTRITO,TX_DISTRIT,ARCOS,CAPACIDAD,MODELO,TITULAR,ESTADO,OBSERVACIO,FOTO,FECHA_FOTO,FUENTE_FOT,FUENTE,ID_INFORMO,ID_OBRAS,CODIGO_GEN,ELIMINADO,enplanos,CMUN,CPROV,ESTACION,SENALIZ,LOCAL_ID,Count_
438466.5553,4471089.4288,1,1067,PBI_11049,"Escuela Oficial de Idiomas ""Carabanchel""","Portalegre, 52",11,CARABANCHEL,5,5,8, , , ,PBI_11049.jpg,,Pedalibre,PEDALIBRE,0,0,1,0,1,079,28,,,,1
441144.8457,4479655.2829,2,1068,PBI_06045,"JMD ""Tetuán""",Viña Virgen,06,TETUAN,6,12,1,AYUNTAMIENTO MADRID, , ,PBI_06045.jpg,2011/01/31 00:00:00+00,Central de Movilidad,PEDALIBRE,0,0,1,10,1,079,28,,,,1
435446.4559,4472787.5927,3,1071,PBI_10051,"Metro ""Casa de Campo""",Paseo de la Venta,10,LATINA,6,12,1,AYUNTAMIENTO MADRID, , ,PBI_10051.jpg,2010/09/18 00:00:00+00,Central de Movilidad,PEDALIBRE,0,0,1,0,1,079,28,,,,1
441845.4358,4474988.2465,4,1072,PBI_04035,Lagasca,"Lagasca, 30",04,SALAMANCA,3,6,2,AYUNTAMIENTO MADRID,1,Falta 1 arco y los otros 2 están doblados,PBI_04035.jpg,2011/01/02 00:00:00+00,Central de Movilidad,PEDALIBRE,0,0,1,0,1,079,28,,,,1
441741.9931,4475008.2894,5,1073,PBI_04036,Claudio Coello,"Claudio Coello, 28",04,SALAMANCA,3,6,2,AYUNTAMIENTO MADRID, , ,PBI_04036.jpg,2011/01/02 00:00:00+00,Central de Movilidad,PEDALIBRE,0,0,1,0,1,079,28,,,,1
438196.4228,4470002.7986,6,1075,PBI_11051,"Parque ""Sur""",Vía Lusitana - Plaza de Coimbra,11,CARABANCHEL,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_11051.jpg,2010/10/07 00:00:00+00,Central de Movilidad,Policia,0,0,1,0,1,079,28,,,,1
444363.2489,4469823.8445,7,1082,PBI_13059,"CEIP ""Madrid Sur""",Viridiana,13,PUENTE DE VALLECAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_13059.jpg,2010/08/28 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
446778.8104,4471323.5524,8,1083,PBI_13060,Biblioteca UPM,Campur Sur,13,PUENTE DE VALLECAS,5,10,3, , , ,PBI_13060.jpg,2010/08/29 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
449018.0823,4469001.8713,9,1084,PBI_18045,"Centro Comercial ""La Gavia""","Adolfo Bioy Casares, 2",18,VILLA DE VALLECAS,7,7,8, , , ,PBI_18045.jpg,2010/08/28 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
449051.5298,4469039.7364,10,1085,PBI_18046,"Centro Comercial ""La Gavia""","Adolfo Bioy Casares, 2",18,VILLA DE VALLECAS,7,7,8, , , ,PBI_18046.jpg,2010/08/29 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
437464.1245,4469476.8486,11,1217,PBI_11064,Instalaciones Deportivas en Avenida de los Poblados,Av. Poblados - Vía Lusitana,11,CARABANCHEL,6,6,8, , , ,PBI_11064.jpg,2011/01/29 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
449151.8726,4469107.8938,12,1086,PBI_18047,"Centro Comercial ""La Gavia""","Adolfo Bioy Casares, 2",18,VILLA DE VALLECAS,7,7,8, , , ,PBI_18047.jpg,2010/08/29 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
449382.219,4469133.7684,13,1088,PBI_18048,"Centro Comercial ""La Gavia""","Adolfo Bioy Casares, 2",18,VILLA DE VALLECAS,7,7,8, , , ,PBI_18048.jpg,2010/08/29 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
447646.04,4470098.7686,14,1090,PBI_18049,"Centro Juvenil ""Cerro de Vacas""",Real de Arganda y Sierra de Torcal,18,VILLA DE VALLECAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_18049.jpg,2010/08/29 00:00:00+00,Central de Movilidad,DG PLANIFICACION,0,714,1,0,1,079,28,,,,1
447583.7492,4468917.7093,15,1092,PBI_18050,Parque,Parque,18,VILLA DE VALLECAS,45,45,5, , , ,PBI_18050.jpg,2010/08/29 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
445216.6161,4476738.0586,16,1096,PBI_15047,"Instalaciones Deportivas ""Concepcion Arenal""",José del Hierro,15,CIUDAD LINEAL,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_15047.jpg,2010/08/31 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
449431.8333,4478049.8219,17,1104,PBI_21034,Alameda de Osuna,Noray,21,BARAJAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_21034.jpg,2010/09/04 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
447203.7751,4478674.1928,18,1107,PBI_16071,"Parque ""Juan Pablo II""",Av. las Piceas,16,HORTALEZA,6,6,8, , , ,PBI_16071.jpg,2010/09/03 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
446725.1029,4479561.8801,19,1109,PBI_16072,"Centro Deportivo Municipal ""Luis Aragonés"" (lateral derecho)",El Provencio 20,16,HORTALEZA,5,5,6,AYUNTAMIENTO MADRID, , ,PBI_16072.jpg,2010/09/03 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
446712.5784,4479565.744,20,1110,PBI_16073,"Centro Deportivo Municipal ""Luis Aragonés"" (lateral izquierdo)",El Provencio 20,16,HORTALEZA,5,5,6,AYUNTAMIENTO MADRID, , ,PBI_16073.jpg,2010/09/03 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
450030.3256,4479152.0149,21,1113,PBI_21035,"Instalación Deportiva Municipal ""Villa de Madrid""","Los Brezos, 1",21,BARAJAS,10,20,3, , , ,PBI_21035.jpg,2010/09/04 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
450016.9712,4479161.7272,22,1114,PBI_21036,"Instalación Deportiva Municipal ""Villa de Madrid""","Los Brezos, 1",21,BARAJAS,9,9,8, , , ,PBI_21036.jpg,2010/09/04 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
450148.6953,4477396.1894,23,1115,PBI_20059,"Centro Comercial ""Plenilunio""","Aracne, 3 y Pirra",20,SAN BLAS,8,16,3, , , ,PBI_20059.jpg,2010/09/04 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
448188.7976,4477026.4334,24,1116,PBI_20060,Interior del parque, ,20,SAN BLAS,5,10,1,AYUNTAMIENTO MADRID,1,Arcos sueltos 2,PBI_20060.jpg,2010/09/04 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
448328.2098,4476193.2375,25,1119,PBI_20062,"JMD ""San Blas""","Av. Arcentales, 28",20,SAN BLAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_20062.jpg,2010/10/19 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
448574.4228,4475420.7381,26,1120,PBI_20063,"Polideportivo ""Pepu Hernández""","Av. Niza, s/n y Alpes",20,SAN BLAS,7,7,8, , , ,PBI_20063.jpg,2010/09/04 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
448217.321,4475233.169,27,1122,PBI_20064,"Colegio ""Juan Valdés""",Av. Canillejas,20,SAN BLAS,6,6,8, , , ,PBI_20064.jpg,2010/09/04 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
447607.937,4475187.616,28,1124,PBI_20065,Escuela oficial de Idiomas,"Conserveros, 4",20,SAN BLAS,6,6,8, , , ,PBI_20065.jpg,2010/09/04 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
447352.8135,4474356.6333,29,1125,PBI_20066,"Centro Comercial ""Las Rosas""","Aquitania, 3",20,SAN BLAS,6,6,8, , , ,PBI_20066.jpg,2010/09/04 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
440493.4427,4467295.0425,30,1,PBI_17001,Instalaciones Deportivas,"Hermandad de Donantes de Sangre, 21",17,VILLAVERDE,10,10,8, , , ,PBI_17001.jpg,2010/09/12 00:00:00+00,Central de Movilidad,INFORMOMADRID,1,0,0,0,1,079,28,,,,1
441284.9746,4473452.4693,31,2,PBI_03001,Cuesta de Moyano,"Paseo Prado, 2",03,RETIRO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_03001.jpg,2011/01/06 00:00:00+00,Central de Movilidad,INFORMOMADRID,2,100,0,0,1,079,28,,,,1
440641.1698,4473053.078,32,3,PBI_01001,La Casa Encendida,"Ronda de Valencia, 2",01,CENTRO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_01001.jpg,2010/11/09 00:00:00+00,Central de Movilidad,INFORMOMADRID,3,43,0,0,1,079,28,,,,1
440625.8503,4472489.5063,33,4,PBI_02001,Gta. Santa María de la Cabeza,"Doctor Vallejo Nájera, 2",02,ARGANZUELA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_02001.jpg,2010/10/06 00:00:00+00,Central de Movilidad,INFORMOMADRID,4,64,0,0,1,079,28,,,,1
446700.0062,4475005.8594,34,5,PBI_15019,"Centro Servicios Sociales y Mayores ""Luis Vives""","Hermanos García Noblejas, 160",15,CIUDAD LINEAL,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_15019.jpg,2010/10/19 00:00:00+00,Central de Movilidad,INFORMOMADRID,5,572,1,0,1,079,28,,,,1
442569.3374,4476577.2655,35,6,PBI_05001,"Intercambiador ""Avenida de América""","Av. América, 7",05,CHAMARTIN,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_05001.jpg,2011/01/02 00:00:00+00,Central de Movilidad,INFORMOMADRID,6,189,0,0,1,079,28,,,,1
446508.0372,4475889.967,36,7,PBI_20001,Policlínica Universitaria Alfonso X El Sabio,"Albarracín, 35",20,SAN BLAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_20001.jpg,2011/01/20 00:00:00+00,Central de Movilidad,INFORMOMADRID,7,751,0,0,1,079,28,,,,1
446400.1747,4476099.8604,37,8,PBI_20019,A.G. Seguridad y Movilidad,"Julian Camarillo, 6-8 y Albarracín",20,SAN BLAS,4,8,1,AYUNTAMIENTO MADRID, , ,PBI_20019.jpg,2010/07/26 00:00:00+00,Central de Movilidad,INFORMOMADRID,8,752,1,0,1,079,28,,,,1
442328.5622,4474769.0217,38,9,PBI_03004,Retiro (esquina O'Donnell),"Menéndez Pelayo, 9",03,RETIRO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_03004.jpg,2010/11/30 00:00:00+00,Central de Movilidad,INFORMOMADRID,9,91,0,0,1,079,28,,,,1
438154.3067,4478045.2016,39,1218,PBI_09079,"Instalaciones Deportivas Universidad Complutense ""Zona Norte""","Av. Complutense, s/n",09,MONCLOA-ARAVACA,4,8,1,AYUNTAMIENTO MADRID, , ,PBI_09079.jpg,2010/10/18 00:00:00+00,Central de Movilidad,CENTRAL DE MOVILIDAD,0,0,1,0,1,079,28,,,,1
439549.5337,4473138.1703,40,12,PBI_02003,"Centro de Salud ""Pontones""","Ronda de Segovia, 52",02,ARGANZUELA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_02003.jpg,2011/01/13 00:00:00+00,Central de Movilidad,INFORMOMADRID,12,51,0,0,1,079,28,,,,1
439252.3729,4472930.3729,41,13,PBI_02004,Agencia para el Empleo de Madrid,"Paseo Pontones, 10",02,ARGANZUELA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_02004.jpg,2011/01/13 00:00:00+00,Central de Movilidad,INFORMOMADRID,13,52,0,0,1,079,28,,,,1
442937.5353,4472772.4623,42,14,PBI_03002,Biblioteca Retiro,"Doctor Esquerdo, 189",03,RETIRO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_03002.jpg,2011/01/13 00:00:00+00,Central de Movilidad,INFORMOMADRID,14,107,0,0,1,079,28,,,,1
442188.664,4476536.353,43,15,PBI_04001,Agencia Estatal de Administración Tributaria,"María de Molina, 48",04,SALAMANCA,3,6,1,AYUNTAMIENTO MADRID, , ,PBI_04001.jpg,2011/01/02 00:00:00+00,Central de Movilidad,INFORMOMADRID,15,114,0,0,1,079,28,,,,1
447288.2787,4474449.1296,44,16,PBI_20002,"Centro Comercial ""Las Rosas""","Av. Guadalajara, 2",20,SAN BLAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_20002.jpg,2010/09/04 00:00:00+00,Central de Movilidad,INFORMOMADRID,16,761,0,0,1,079,28,,,,1
443574.5655,4474705.1058,45,17,PBI_04002,"Centro Deportivo Municipal ""Fuente del Berro""","Elvira, 31",04,SALAMANCA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_04002.jpg,2010/08/11 00:00:00+00,Central de Movilidad,INFORMOMADRID,17,134,0,0,1,079,28,,,,1
439720.1626,4474047.528,46,18,PBI_01002,Oficina de Atención Integral al Contribuyente,"Sacramento, 10",01,CENTRO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_01002.jpg,2011/01/13 00:00:00+00,Central de Movilidad,INFORMOMADRID,18,891,0,0,1,079,28,,,,1
440113.0502,4481665.6581,47,19,PBI_08001,"Colegio ""Valdeluz""","Ginzo de Limia, 47",08,FUENCARRAL-EL PARDO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_08001.jpg,2011/02/12 00:00:00+00,Central de Movilidad,INFORMOMADRID,19,295,0,0,1,079,28,,,,1
442796.4687,4474744.1408,48,20,PBI_03003,O' Donnell,"O'Donnell, 36",03,RETIRO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_03003.jpg,2010/08/11 00:00:00+00,Central de Movilidad,INFORMOMADRID,20,88,0,0,1,079,28,,,,1
442507.8591,4474100.4363,49,21,PBI_03006,Retiro (Doce de Octubre),"Av. Menéndez Pelayo, 61",03,RETIRO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_03006.jpg,2011/01/06 00:00:00+00,Central de Movilidad,INFORMOMADRID,21,89,0,0,1,079,28,,,,1
441366.9586,4473194.0292,50,22,PBI_02005,Plaza del Embarcadero de Atocha,"Paseo Infanta Isabel, 2",02,ARGANZUELA,25,50,1, , , ,PBI_02005.jpg,2010/11/09 00:00:00+00,Central de Movilidad,INFORMOMADRID,22,0,0,0,1,079,28,,,,1
440795.5534,4477542.4386,51,23,PBI_07001,Concentración de oficinas,"Raimundo Fernández Villaverde, 36",07,CHAMBERI,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_07001.jpg,2011/01/08 00:00:00+00,Central de Movilidad,INFORMOMADRID,23,257,0,0,1,079,28,,,,1
448092.1254,4477471.0631,52,25,PBI_20004,"Biblioteca ""Buero Vallejo""","Boltaña, 21",20,SAN BLAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_20004.jpg,2010/09/03 00:00:00+00,Central de Movilidad,INFORMOMADRID,25,785,0,0,1,079,28,,,,1
448278.378,4476171.8658,53,26,PBI_20005,"JMD ""San Blas""","Av. Arcentales, 28",20,SAN BLAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_20005.jpg,2010/09/04 00:00:00+00,Central de Movilidad,INFORMOMADRID,26,790,0,0,1,079,28,,,,1
441326.5555,4477352.051,54,27,PBI_07002,"Metro ""Nuevos Ministerios""","Paseo Castellana, 67",07,CHAMBERI,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_07002.jpg,2011/01/02 00:00:00+00,Central de Movilidad,INFORMOMADRID,27,252,0,0,1,079,28,,,,1
441357.0811,4477544.6363,55,28,PBI_06001,"Metro ""Nuevos Ministerios""","Paseo Castellana, 91",06,TETUAN,5,10,1, ,1,Falta 1 arco,PBI_06001.jpg,2011/01/02 00:00:00+00,Central de Movilidad,INFORMOMADRID,28,0,0,0,1,079,28,,,,1
440905.3446,4474448.0885,56,29,PBI_01003,Circulo de Bellas Artes,"Alcalá, 42",01,CENTRO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_01003.jpg,2010/09/24 00:00:00+00,Central de Movilidad,INFORMOMADRID,29,27,0,0,1,079,28,,,,1
443483.733,4484384.9231,57,30,PBI_08002,"CEIP ""Gabriela Mistral""","Mirallos, 3",08,FUENCARRAL-EL PARDO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_08002.jpg,2011/02/03 00:00:00+00,Central de Movilidad,INFORMOMADRID,30,286,0,0,1,079,28,,,,1
446484.2802,4476164.2339,58,31,PBI_20018,"Hotel ""Barceló Torre Arias""","Julián Camarillo, 19",20,SAN BLAS,4,8,3, , , ,PBI_20018.jpg,2010/09/01 00:00:00+00,Central de Movilidad,INFORMOMADRID,31,922,1,0,1,079,28,,,,1
440838.5129,4472733.189,59,33,PBI_02007,"Mercado ""Santa Maria de la Cabeza""","Paseo Santa María de la Cabeza, 41",02,ARGANZUELA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_02007.jpg,2011/01/06 00:00:00+00,Central de Movilidad,INFORMOMADRID,33,59,0,0,1,079,28,,,,1
440701.9347,4472509.1003,60,34,PBI_02008,Gta. Santa María de la Cabeza,Gta. Santa María de la Cabeza,02,ARGANZUELA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_02008.jpg,2011/01/06 00:00:00+00,Central de Movilidad,INFORMOMADRID,34,61,0,0,1,079,28,,,,1
